md_job_id	source_pose_id	stage	template_pdb	substrate_model	structure_path	replicate_index	ensemble	temperature_K	pressure_bar	planned_equilibration	planned_production	cluster_input	status	source
MD_REACTIVE_6EQE_BHET_like_E01_001_R01	REACTIVE_6EQE_BHET_like_E01_001	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_001.pdb	1	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_001_R02	REACTIVE_6EQE_BHET_like_E01_001	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_001.pdb	2	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_001_R03	REACTIVE_6EQE_BHET_like_E01_001	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_001.pdb	3	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_002_R01	REACTIVE_6EQE_BHET_like_E01_002	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_002.pdb	1	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_002_R02	REACTIVE_6EQE_BHET_like_E01_002	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_002.pdb	2	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_002_R03	REACTIVE_6EQE_BHET_like_E01_002	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_002.pdb	3	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_003_R01	REACTIVE_6EQE_BHET_like_E01_003	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_003.pdb	1	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_003_R02	REACTIVE_6EQE_BHET_like_E01_003	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_003.pdb	2	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_003_R03	REACTIVE_6EQE_BHET_like_E01_003	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_003.pdb	3	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_004_R01	REACTIVE_6EQE_BHET_like_E01_004	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_004.pdb	1	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_004_R02	REACTIVE_6EQE_BHET_like_E01_004	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_004.pdb	2	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_004_R03	REACTIVE_6EQE_BHET_like_E01_004	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_004.pdb	3	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_005_R01	REACTIVE_6EQE_BHET_like_E01_005	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_005.pdb	1	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_005_R02	REACTIVE_6EQE_BHET_like_E01_005	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_005.pdb	2	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
MD_REACTIVE_6EQE_BHET_like_E01_005_R03	REACTIVE_6EQE_BHET_like_E01_005	preacylation_michaelis_complex	6EQE	BHET_like	project01/phase2_blind_petase_qmmm_20260630/blind_work/01_system_setup/reactive_pose_seeds/6EQE_BHET_like_E01/REACTIVE_6EQE_BHET_like_E01_005.pdb	3	NPT_after_NVT_equilibration	300	1	minimize_heat_density_equilibrate	short_replicate_for_active_site_clustering	md_trajectory_after_run	not_started	blind_accepted_gs_pose
