candidate,count_early_region,count_reactant_basin,count_tetint_basin,count_undecided,final_C-Oleave,final_His-Oleave,final_SerH-His,final_SerH-Oleave,final_SerH-SerO,final_SerO-C,final_state,first_frame,first_hit,first_time_ps,n_frames,rep,traj
cand00_rep1_f010_move0,26,27,,22,1.5443776845932007,4.787849426269531,2.0277812480926514,3.642432451248169,0.9965052604675293,2.6505067348480225,reactant_basin,48,reactant_basin,0.096,75,1,cand00_rep1_f010_move0_rep1_1500step.nc
cand00_rep1_f010_move0,14,,,61,1.607598066329956,4.412970542907715,1.873327374458313,3.4146809577941895,1.0069515705108643,2.364766836166382,undecided,,none,,75,2,cand00_rep1_f010_move0_rep2_1500step.nc
cand01_rep1_f010_move1,54,,,21,1.8566681146621704,4.837981224060059,2.0567257404327393,3.302103281021118,0.9902411699295044,2.3389644622802734,undecided,,none,,75,1,cand01_rep1_f010_move1_rep1_1500step.nc
cand01_rep1_f010_move1,44,20,,11,1.6348443031311035,4.782712459564209,1.913792371749878,3.4237406253814697,1.0236713886260986,2.591475248336792,reactant_basin,55,reactant_basin,0.11,75,2,cand01_rep1_f010_move1_rep2_1500step.nc
cand02_rep1_f010_move2,16,,59,,2.3525474071502686,3.9422056674957275,0.9785853624343872,3.2538726329803467,2.118614673614502,1.3831676244735718,tetint_basin,16,tetint_basin,0.032,75,1,cand02_rep1_f010_move2_rep1_1500step.nc
cand02_rep1_f010_move2,12,,63,,2.4327709674835205,2.7452147006988525,1.0857298374176025,1.7482223510742188,2.39817476272583,1.3853119611740112,tetint_basin,12,tetint_basin,0.024,75,2,cand02_rep1_f010_move2_rep2_1500step.nc
cand03_rep3_f004_move3,13,17,,45,1.4199104309082031,4.8668212890625,1.8442323207855225,3.6126723289489746,1.0444707870483398,2.762308120727539,reactant_basin,58,reactant_basin,0.116,75,1,cand03_rep3_f004_move3_rep1_1500step.nc
cand03_rep3_f004_move3,31,,44,,2.466059684753418,3.837967872619629,1.0313693284988403,2.9812402725219727,1.978209137916565,1.4258484840393066,tetint_basin,31,tetint_basin,0.062,75,2,cand03_rep3_f004_move3_rep2_1500step.nc
cand04_rep7_f003_move3,30,,1,44,2.03532075881958,4.2972187995910645,1.086788296699524,3.552297592163086,1.6499106884002686,1.7665472030639648,tetint_basin,74,tetint_basin,0.148,75,1,cand04_rep7_f003_move3_rep1_1500step.nc
cand04_rep7_f003_move3,33,10,,32,1.4293140172958374,4.422180652618408,1.9492781162261963,3.2266995906829834,1.0135204792022705,2.561573028564453,reactant_basin,65,reactant_basin,0.13,75,2,cand04_rep7_f003_move3_rep2_1500step.nc
