candidate,count_early_region,count_reactant_basin,count_tetint_basin,count_undecided,final_C-Oleave,final_His-Oleave,final_SerH-His,final_SerH-Oleave,final_SerH-SerO,final_SerO-C,final_state,first_frame,first_hit,first_time_ps,n_frames,rep,source_attempt,traj
cand03_rep3_f004_move3,13,17,,45,1.4199104309082031,4.8668212890625,1.8442323207855225,3.6126723289489746,1.0444707870483398,2.762308120727539,reactant_basin,58,reactant_basin,0.116,75,1,attempt022,cand03_rep3_f004_move3_rep1_1500step.nc
cand03_rep3_f004_move3,31,,44,,2.466059684753418,3.837967872619629,1.0313693284988403,2.9812402725219727,1.978209137916565,1.4258484840393066,tetint_basin,31,tetint_basin,0.062,75,2,attempt022,cand03_rep3_f004_move3_rep2_1500step.nc
cand04_rep7_f003_move3,30,,1,44,2.03532075881958,4.2972187995910645,1.086788296699524,3.552297592163086,1.6499106884002686,1.7665472030639648,tetint_basin,74,tetint_basin,0.148,75,1,attempt022,cand04_rep7_f003_move3_rep1_1500step.nc
cand04_rep7_f003_move3,33,10,,32,1.4293140172958374,4.422180652618408,1.9492781162261963,3.2266995906829834,1.0135204792022705,2.561573028564453,reactant_basin,65,reactant_basin,0.13,75,2,attempt022,cand04_rep7_f003_move3_rep2_1500step.nc
cand03_rep3_f004_move3,12,29,,34,2.0220165252685547,4.724193572998047,2.535947561264038,4.214966773986816,0.983530580997467,2.7606115341186523,undecided,35,reactant_basin,0.07,75,3,attempt023,cand03_rep3_f004_move3_rep3_1500step.nc
cand03_rep3_f004_move3,23,31,,21,1.9430781602859497,4.597935676574707,2.38623046875,4.09182596206665,0.9533216953277588,2.572810649871826,undecided,30,reactant_basin,0.06,75,4,attempt023,cand03_rep3_f004_move3_rep4_1500step.nc
cand03_rep3_f004_move3,17,39,,19,1.3991981744766235,4.741342544555664,2.213510513305664,3.9359521865844727,0.975509524345398,2.8492391109466553,reactant_basin,36,reactant_basin,0.07200000000000001,75,5,attempt023,cand03_rep3_f004_move3_rep5_1500step.nc
cand03_rep3_f004_move3,15,22,,38,1.7107970714569092,4.525764465332031,1.9080556631088257,3.654963493347168,0.9432549476623535,2.7517082691192627,reactant_basin,53,reactant_basin,0.106,75,6,attempt023,cand03_rep3_f004_move3_rep6_1500step.nc
cand03_rep3_f004_move3,56,,,19,1.9388221502304077,4.3251237869262695,1.8604950904846191,3.4330215454101562,1.0138453245162964,2.4171500205993652,undecided,,none,,75,7,attempt023,cand03_rep3_f004_move3_rep7_1500step.nc
cand03_rep3_f004_move3,7,9,,59,2.00941801071167,4.562265396118164,2.0486536026000977,3.1643638610839844,1.0060746669769287,2.2560393810272217,undecided,55,reactant_basin,0.11,75,8,attempt023,cand03_rep3_f004_move3_rep8_1500step.nc
cand04_rep7_f003_move3,27,,,48,2.1073169708251953,4.612959861755371,2.075214147567749,3.446505069732666,1.0245670080184937,2.2333104610443115,undecided,,none,,75,3,attempt023,cand04_rep7_f003_move3_rep3_1500step.nc
cand04_rep7_f003_move3,22,,,53,1.9890552759170532,4.347925662994385,1.7081815004348755,3.702326774597168,0.9779042601585388,2.523625135421753,undecided,,none,,75,4,attempt023,cand04_rep7_f003_move3_rep4_1500step.nc
cand04_rep7_f003_move3,30,,,45,1.9003735780715942,4.401440143585205,1.696968674659729,3.4842610359191895,1.0542147159576416,2.4015936851501465,undecided,,none,,75,5,attempt023,cand04_rep7_f003_move3_rep5_1500step.nc
cand04_rep7_f003_move3,22,19,,34,1.6649161577224731,4.774946689605713,1.8623981475830078,3.6529064178466797,0.9307951927185059,2.7744407653808594,reactant_basin,56,reactant_basin,0.112,75,6,attempt023,cand04_rep7_f003_move3_rep6_1500step.nc
cand04_rep7_f003_move3,14,9,,52,1.6708767414093018,4.872446060180664,1.7184665203094482,3.8277201652526855,0.9908738136291504,2.663895606994629,reactant_basin,66,reactant_basin,0.132,75,7,attempt023,cand04_rep7_f003_move3_rep7_1500step.nc
cand04_rep7_f003_move3,20,,,55,1.9550145864486694,4.985933303833008,1.9399139881134033,4.199546813964844,0.9838973879814148,2.489675283432007,undecided,,none,,75,8,attempt023,cand04_rep7_f003_move3_rep8_1500step.nc
