count_early_region,count_reactant_basin,count_tetint_basin,count_undecided,final_C-Oleave,final_His-Oleave,final_SerH-His,final_SerH-Oleave,final_SerH-SerO,final_SerO-C,final_state,first_frame,first_hit,first_time_ps,n_frames,rep,seed,traj
6,,68,1,2.516148090362549,3.656897783279419,1.0518006086349487,2.9289612770080566,2.1112499237060547,1.3960096836090088,tetint_basin,6,tetint_basin,0.012,75,1,boundary00_cand02_rep1_f010_move2_rep1_1500step_f006,boundary00_cand02_rep1_f010_move2_rep1_1500step_f006_rep1_1500step.nc
7,,68,,2.2409234046936035,3.1970741748809814,1.0152851343154907,2.2638115882873535,2.5721030235290527,1.3691657781600952,tetint_basin,7,tetint_basin,0.014,75,2,boundary00_cand02_rep1_f010_move2_rep1_1500step_f006,boundary00_cand02_rep1_f010_move2_rep1_1500step_f006_rep2_1500step.nc
12,,63,,2.472576141357422,3.2074875831604004,1.07671058177948,2.3401942253112793,1.8952147960662842,1.3992609977722168,tetint_basin,12,tetint_basin,0.024,75,1,boundary01_cand03_rep3_f004_move3_rep2_1500step_f012,boundary01_cand03_rep3_f004_move3_rep2_1500step_f012_rep1_1500step.nc
12,,63,,2.7142679691314697,3.1240782737731934,1.0309861898422241,2.2697434425354004,2.594869375228882,1.442825198173523,tetint_basin,12,tetint_basin,0.024,75,2,boundary01_cand03_rep3_f004_move3_rep2_1500step_f012,boundary01_cand03_rep3_f004_move3_rep2_1500step_f012_rep2_1500step.nc
10,15,,50,1.5059350728988647,4.480523586273193,2.0297722816467285,3.4278929233551025,0.9552579522132874,2.4449431896209717,reactant_basin,32,reactant_basin,0.064,75,1,boundary02_cand01_rep1_f010_move1_rep1_1500step_f019,boundary02_cand01_rep1_f010_move1_rep1_1500step_f019_rep1_1500step.nc
32,13,,30,1.3841345310211182,4.824482440948486,1.843425989151001,3.6960043907165527,1.0171986818313599,2.668307304382324,reactant_basin,62,reactant_basin,0.124,75,2,boundary02_cand01_rep1_f010_move1_rep1_1500step_f019,boundary02_cand01_rep1_f010_move1_rep1_1500step_f019_rep2_1500step.nc
24,,51,,2.3401055335998535,3.3509020805358887,0.9641474485397339,2.8274006843566895,2.186328649520874,1.3733479976654053,tetint_basin,24,tetint_basin,0.048,75,1,boundary03_cand00_rep1_f010_move0_rep2_1500step_f007,boundary03_cand00_rep1_f010_move0_rep2_1500step_f007_rep1_1500step.nc
18,18,,39,1.6549468040466309,4.488524436950684,2.0392515659332275,3.5940635204315186,0.9677934646606445,2.679590940475464,reactant_basin,57,reactant_basin,0.114,75,2,boundary03_cand00_rep1_f010_move0_rep2_1500step_f007,boundary03_cand00_rep1_f010_move0_rep2_1500step_f007_rep2_1500step.nc
23,12,,40,1.6618543863296509,4.743052005767822,1.7632609605789185,3.588693618774414,0.9713801741600037,2.562072277069092,reactant_basin,63,reactant_basin,0.126,75,1,boundary04_cand02_rep1_f010_move2_rep2_1500step_f002,boundary04_cand02_rep1_f010_move2_rep2_1500step_f002_rep1_1500step.nc
6,,69,,2.4358279705047607,3.340817928314209,0.9848892092704773,2.6278443336486816,2.320829153060913,1.3060110807418823,tetint_basin,6,tetint_basin,0.012,75,2,boundary04_cand02_rep1_f010_move2_rep2_1500step_f002,boundary04_cand02_rep1_f010_move2_rep2_1500step_f002_rep2_1500step.nc
27,17,,31,1.7401847839355469,4.494561672210693,2.004006862640381,4.204412460327148,0.9603638052940369,2.586423873901367,reactant_basin,58,reactant_basin,0.116,75,1,boundary05_cand03_rep3_f004_move3_rep7_1500step_f005,boundary05_cand03_rep3_f004_move3_rep7_1500step_f005_rep1_1500step.nc
49,1,,25,1.5694886445999146,4.2180914878845215,1.8443976640701294,3.34460711479187,1.0318728685379028,2.3568778038024902,undecided,66,reactant_basin,0.132,75,2,boundary05_cand03_rep3_f004_move3_rep7_1500step_f005,boundary05_cand03_rep3_f004_move3_rep7_1500step_f005_rep2_1500step.nc
