step	candidate_id	source	status	OW_C_A	H2_His_A	C_SerO_A	C_Oleave_A	committor_summary	note
2_deacylation	deacyl_attempt041_w04	attempt041_deacylation_chainB_cser_break_probe/w04.rst7	early_reactant_side_bracket	2.033	1.499	2.382	3.181	attempt052 3000-step: product 0/8, reactant 3/8, undecided 5/8	Best current lower bracket; not balanced TS.
2_deacylation	deacyl_w045	attempt045_deacylation_w04_w05_fine_probe/w045.rst7	product_emergent_boundary	2.074	1.466	2.376	3.284	attempt046 1500-step: product 0/3, reactant 1/3, undecided 2/3; attempt051 3000-step: product 4/8, reactant 0/8, undecided 4/8	Longer trajectories show product commitment; no reactant hit at 3000-step.
2_deacylation	deacyl_w239	attempt048_deacylation_w045_w050_finer_probe/w239.rst7	current_best_ts_core_probe	2.067	1.461	2.341	3.331	attempt049 1500-step: product 1/4, reactant 0/4, undecided 3/4; attempt050 3000-step: product 5/8, reactant 1/8, undecided 2/8; combined: product 6/12, reactant 1/12, undecided 5/12	Has both product and reactant commitment, but product-biased excluding undecided.
2_deacylation	deacyl_w241	attempt048_deacylation_w045_w050_finer_probe/w241.rst7	product_side	2.006	1.282	2.395	3.801	attempt049 1500-step: product 4/4, reactant 0/4, undecided 0/4	Too product-side.
2_deacylation	deacyl_w243	attempt048_deacylation_w045_w050_finer_probe/w243.rst7	product_side	1.746	1.060	2.412	3.690	attempt049 1500-step: product 4/4, reactant 0/4, undecided 0/4	Too product-side.
2_deacylation	deacyl_bridge_cser240_h145	attempt053_deacylation_w04_w239_bridge_committor/bridge_cser240_h145_min.rst7	current_best_ts_core_candidate	2.096	1.477	2.339	3.287	attempt053+054 3000-step: product 6/16, reactant 4/16, undecided 6/16; excluding undecided product fraction 0.60	Current best deacylation TS-core candidate from blind bridge refinement; suitable for local ensemble expansion/micro-relax.
2_deacylation	deacyl_bridge_cser242_h148	attempt053_deacylation_w04_w239_bridge_committor/bridge_cser242_h148_min.rst7	product_shifted_upper_bracket	2.063	1.499	2.366	3.323	attempt053 3000-step: product 5/8, reactant 2/8, undecided 1/8	Product-shifted upper bracket; useful for bounding but not balanced.
2_deacylation	deacyl_bridge_cser244_h150	attempt053_deacylation_w04_w239_bridge_committor/bridge_cser244_h150_min.rst7	reactant_shifted_lower_bracket	2.157	1.552	2.364	3.343	attempt053 3000-step: product 2/8, reactant 4/8, undecided 2/8	Reactant-shifted lower bracket near the current deacylation TS core.
2_deacylation	deacyl_local_n00_center	attempt055_deacylation_cser240_local_ensemble/n00_center_min.rst7	local_reactant_side_bracket_after_extension	2.134	1.555	2.236	3.379	attempt055+056 3000-step: product 1/8, reactant 4/8, undecided 3/8; excluding undecided product fraction 0.20	Lower/reactant-side local bracket after expansion; not accepted as ensemble member.
2_deacylation	deacyl_local_n01_more_attack	attempt055_deacylation_cser240_local_ensemble/n01_more_attack_min.rst7	accepted_local_ts_core_member	2.116	1.516	2.262	3.347	attempt055+056 3000-step: product 3/8, reactant 2/8, undecided 3/8; excluding undecided product fraction 0.60	Accepted deacylation local TS-core ensemble member from blind local expansion.
2_deacylation	deacyl_local_n05_proton_late	attempt055_deacylation_cser240_local_ensemble/n05_proton_late_min.rst7	accepted_local_ts_core_member	2.134	1.559	2.236	3.379	attempt055+056 3000-step: product 3/8, reactant 2/8, undecided 3/8; excluding undecided product fraction 0.60	Accepted deacylation local TS-core ensemble member from blind local expansion.
2_deacylation	deacyl_local_n02_less_attack	attempt055_deacylation_cser240_local_ensemble/n02_less_attack_min.rst7	local_reactant_side_bracket	2.142	1.571	2.256	3.383	attempt055 3000-step: product 0/4, reactant 2/4, undecided 2/4	Lower/reactant-side local bracket.
2_deacylation	deacyl_local_n03_more_break	attempt055_deacylation_cser240_local_ensemble/n03_more_break_min.rst7	local_reactant_side	2.146	1.557	2.272	3.382	attempt055 3000-step: product 0/4, reactant 3/4, undecided 1/4	Reactant-side local neighbor; not first expansion target.
2_deacylation	deacyl_local_n04_less_break	attempt055_deacylation_cser240_local_ensemble/n04_less_break_min.rst7	local_undecided_reactant_side	2.136	1.563	2.180	3.402	attempt055 3000-step: product 0/4, reactant 1/4, undecided 3/4	Mostly undecided/reactant-side local neighbor.
