probe_id	material_family	role	preferred_name	canonical_smiles	formal_charge	heavy_atom_count	total_atom_count	primary_or_control	stage	protonation_note	rationale	status
PET_DMT	PET	neutral_repeat_chemistry_proxy	dimethyl terephthalate	COC(=O)c1ccc(C(=O)OC)cc1	0	14	24	primary	2	neutral	Contains the PET aromatic ring and two neutral ester groups without ionic carboxylates	pending_rdkit_server_validation
PET_BHET	PET	larger_repeat_chemistry_proxy	bis(2-hydroxyethyl) terephthalate	OCCOC(=O)c1ccc(C(=O)OCCO)cc1	0	18	32	secondary	2	neutral	Contains aromatic ring two esters and hydroxyethyl termini; larger and more flexible than DMT	pending_rdkit_server_validation
PET_TOLUENE	PET	aromatic_diagnostic	toluene	Cc1ccccc1	0	7	15	control	2	neutral	Reports aromatic and hydrophobic preference without ester recognition	pending_rdkit_server_validation
PET_ETHYL_ACETATE	PET	ester_diagnostic	ethyl acetate	CCOC(C)=O	0	6	14	control	2	neutral	Reports neutral ester recognition without the PET aromatic surface	pending_rdkit_server_validation
PET_TPA	PET	raw_synthesis_monomer_control	terephthalic acid	O=C(O)c1ccc(C(=O)O)cc1	0	12	18	control	2	neutral form shown; substantially ionized near neutral pH	Not a primary PET proxy because polymerized PET contains esters rather than free dicarboxylic acid	pending_rdkit_server_validation
PET_EG	PET	raw_synthesis_monomer_control	ethylene glycol	OCCO	0	4	10	control	2	neutral	Not a primary PET proxy because polymer connectivity and esterification are absent	pending_rdkit_server_validation
NYL_NMA	NYLON	amide_diagnostic	N-methylacetamide	CNC(C)=O	0	5	12	primary_component	2	neutral	Compact neutral amide probe for hydrogen-bond donor and acceptor recognition	pending_rdkit_server_validation
NYL_HEXANE	NYLON	aliphatic_diagnostic	n-hexane	CCCCCC	0	6	20	primary_component	2	neutral	Reports compatibility with the nylon methylene-rich region	pending_rdkit_server_validation
PA66_DMAA	PA66	neutral_adipic_side_proxy	N,N'-dimethyladipamide	CNC(=O)CCCCC(=O)NC	0	12	28	secondary	2	neutral	Represents the adipic-side methylene segment flanked by two neutral amides	pending_rdkit_server_validation
PA66_HMBA	PA66	neutral_diamine_side_proxy	N,N'-hexamethylenebisacetamide	CC(=O)NCCCCCCNC(C)=O	0	14	34	secondary	2	neutral	Represents the hexamethylene-diamine side capped by two neutral amides	pending_rdkit_server_validation
PA6_CAPROLACTAM	PA6	raw_synthesis_monomer_control	caprolactam	O=C1CCCCCN1	0	8	19	control	2	neutral	Cyclic raw monomer control; not a primary proxy for linear PA6 repeat geometry	pending_rdkit_server_validation
PA66_ADIPIC_ACID	PA66	raw_synthesis_monomer_control	adipic acid	O=C(O)CCCCC(=O)O	0	10	20	control	2	neutral form shown; substantially ionized near neutral pH	Raw synthesis monomer only; ionic behavior differs from neutral polymer amides	pending_rdkit_server_validation
PA66_HMDA	PA66	raw_synthesis_monomer_control	hexamethylenediamine	NCCCCCCN	0	8	24	control	2	neutral form shown; substantially protonated near neutral pH	Raw synthesis monomer only; charge state differs from neutral polymer amides	pending_rdkit_server_validation
PA6_CAPPED_DIMER	PA6	explicit_oligomer	capped linear PA6 dimer				deferred	3	to be defined with explicit terminal caps	Generate only after Phase 1 map benchmark and freeze exact cap chemistry	deferred
PA66_CAPPED_REPEAT	PA66	explicit_oligomer	capped PA66 repeat segment				deferred	3	to be defined with explicit terminal caps	Generate only after Phase 1 map benchmark and freeze exact cap chemistry	deferred
PA66_CAPPED_DIMER	PA66	explicit_oligomer	capped PA66 dimer				deferred	3	to be defined with explicit terminal caps	Generate only after Phase 1 map benchmark and freeze exact cap chemistry	deferred
