attempt	branch	purpose	why_this_was_done	input_or_seed	output_dir_or_file	outcome	next_decision
stage1_structure_pose	setup	Build blind structure-only PETase substrate-bound candidates	Needed Michaelis candidates without using paper coordinates	PETase structures generic serine hydrolase geometry docking pose filters	blind_work/01_system_setup and blind_work/02_classical_md	Created pose and conformer gates for QM/MM setup	Proceed only with productive active-site geometry
amber_protocol_choice	setup	Choose Amber/Sander for formal QM/MM	Amber/Sander supports the paper-like QM/MM style and ATESA integration better than the earlier GMX/CP2K energy-only setup	Existing AmberTools/Sander environment on CPU server	Remote env /Dell/Dell14/bianht/micromamba/envs/petase_stage1	Selected Amber/Sander DFTB3 310 K dt=0.0001 ps as formal protocol	Use GMX/CP2K only as background experience not main reproduction
deacyl_attempt003	deacylation	Formal ATESA midseed aimless shooting	Test whether midseed TS-like geometries can produce accepted deacylation shooting moves	blind_work/05_atesa_deacylation/formal_as_attempt003_midseed_16x2	formal_as_attempt003_midseed_16x2	Produced accepted/near-boundary seeds but not enough final TS ensemble evidence	Use accepted seeds to focus next shooting attempt
deacyl_attempt004	deacylation	Focused ATESA from accepted attempt003 seeds	Increase shooting efficiency from seeds that already showed boundary behavior	attempt003 accepted seeds	formal_as_attempt004_from_accepted3_3x8	Improved seed pool but not sufficient alone for final PMF	Move to focused committor on selected LMax/near-boundary seeds
deacyl_attempt006	deacylation	Focused committor short paths	Estimate pB for selected deacylation seed candidates and find TS-core candidates	LMax/near-boundary seed set	blind_work/07_focused_committor/deacylation_lmax_seed12_8shot_attempt006_shortpaths	Identified seed 1 and seed 4 as important boundary candidates	Extend commitment tests for the best candidates
deacyl_attempt007	deacylation	Long commitment on seed 1 and seed 4	Check whether short committor endpoints were misclassified due to too-short trajectories	attempt006 seed 1 and seed 4	deacylation_seed01_seed04_longcommit_attempt007_2x16	Supported deacylation TS-core region but one trajectory was pathologically slow/late	Do not block PMF; move to umbrella windows around validated region
deacyl_attempt012	deacylation	Initial central PMF production windows	Test whether central deacylation umbrella windows are numerically stable	Seed1 TS-core geometry	deacylation_seed1_attempt012_4win_central_production_5000	Short central windows ran but did not cover path overlap adequately	Add bridge windows
deacyl_attempt013	deacylation	Bridge windows between central windows	Repair window overlap around w03-w04	Attempt012 final restarts	deacylation_seed1_attempt013_bridge_w03_w04_2win_5000	Improved overlap but left eta 0.70-0.90 gap	Add targeted gap windows
deacyl_attempt014	deacylation	Gap windows at eta 0.75 and 0.85	Address low-overlap region visible in preliminary PMF	Attempt012/013 restarts	deacylation_seed1_attempt014_gap_eta075_085_2win_5000	Still insufficient to fully stabilize projected PMF	Add flanking and stronger seeded gap windows
deacyl_attempt015	deacylation	Flank windows around gap region	Add adjacent windows in parallel to avoid one-at-a-time bottleneck	Attempt012/013/014 restarts	deacylation_seed1_attempt015_flank_6win_5000	Improved coverage but central gap remained fragile	Add strong seeded gap windows
