pdb	title	method	resolution_A	organism	blind_role	decision	reason	source_url	source_checked_utc
6EQE	High resolution crystal structure of a polyethylene terephthalate degrading hydrolase from Ideonella sakaiensis	X-RAY DIFFRACTION	0.92	Ideonella sakaiensis strain 201-F6	primary WT apo template	include	Highest-resolution WT-like PETase structure in the queried set; use as the main enzyme template for blind model building.	https://www.rcsb.org/structure/6EQE	2026-06-30
5XJH	Crystal structure of PETase from Ideonella sakaiensis	X-RAY DIFFRACTION	1.54	Ideonella sakaiensis	secondary WT apo template	include	WT PETase structure with good resolution; use to test whether active-site geometry is robust to template choice.	https://www.rcsb.org/structure/5XJH	2026-06-30
5YFE	Enzymatic and structural characterization of the poly (ethylene terephthalate) hydrolase PETase from I. sakaiensis	X-RAY DIFFRACTION	1.39	Ideonella sakaiensis strain 201-F6	secondary WT apo template	include	WT-like PETase structure with high resolution; use as an independent apo-like cross-check.	https://www.rcsb.org/structure/5YFE	2026-06-30
6ILW	Crystal structure of PETase from Ideonella sakaiensis	X-RAY DIFFRACTION	1.575	Ideonella sakaiensis strain 201-F6	secondary WT apo template	include	WT PETase structure from a separate deposition; use as a template-sensitivity control.	https://www.rcsb.org/structure/6ILW	2026-06-30
6EQD	Crystal structure of a polyethylene terephthalate degrading hydrolase from Ideonella sakaiensis collected at long wavelength	X-RAY DIFFRACTION	1.7	Ideonella sakaiensis	WT backup	include_backup	WT-like structure; keep as backup if metal/long-wavelength information or alternate crystal packing helps resolve atom identity.	https://www.rcsb.org/structure/6EQD	2026-06-30
6EQF	Crystal structure of a polyethylene terephthalate degrading hydrolase from Ideonella sakaiensis in spacegroup P212121	X-RAY DIFFRACTION	1.7	Ideonella sakaiensis	WT backup	include_backup	WT-like structure in a different space group; use only if the primary set shows active-site ambiguity.	https://www.rcsb.org/structure/6EQF	2026-06-30
6EQG	Crystal structure of a polyethylene terephthalate degrading hydrolase from Ideonella sakaiensis in spacegroup P21	X-RAY DIFFRACTION	1.799	Ideonella sakaiensis strain 201-F6	WT backup	include_backup	WT-like structure in a different space group; use only for robustness checks.	https://www.rcsb.org/structure/6EQG	2026-06-30
6EQH	Crystal structure of a polyethylene terephthalate degrading hydrolase from Ideonella sakaiensis in spacegroup C2221	X-RAY DIFFRACTION	1.58	Ideonella sakaiensis strain 201-F6	WT backup	include_backup	WT-like structure in a different space group; use only for robustness checks.	https://www.rcsb.org/structure/6EQH	2026-06-30
6QGC	PETase from Ideonella sakaiensis without ligand	X-RAY DIFFRACTION	2.0	Ideonella sakaiensis	WT apo backup	include_backup	Explicitly ligand-free PETase; lower resolution than primary templates, useful as an apo-state sanity check.	https://www.rcsb.org/structure/6QGC	2026-06-30
5XH3	Crystal structure of a novel PET hydrolase R103G/S131A mutant in complex with HEMT from Ideonella sakaiensis 201-F6	X-RAY DIFFRACTION	1.3	Ideonella sakaiensis strain 201-F6	ligand-geometry reference only	exclude_from_primary	Mutant and ligand-bound analog structure; may inform generic binding-pocket occupancy but cannot be the WT production template.	https://www.rcsb.org/structure/5XH3	2026-06-30
5XH2	Crystal structure of a novel PET hydrolase R103G/S131A mutant in complex with pNP from Ideonella sakaiensis 201-F6	X-RAY DIFFRACTION	1.2	Ideonella sakaiensis strain 201-F6	ligand-geometry reference only	exclude_from_primary	Mutant with non-PET analog; use only to inspect pocket volume, not as production WT template.	https://www.rcsb.org/structure/5XH2	2026-06-30
5XFZ	Crystal structure of a novel PET hydrolase R103G/S131A mutant from Ideonella sakaiensis 201-F6	X-RAY DIFFRACTION	1.55	Ideonella sakaiensis strain 201-F6	mutant control	exclude_from_primary	Mutated active-site-near environment; exclude from blind WT production setup.	https://www.rcsb.org/structure/5XFZ	2026-06-30
5XFY	Crystal structure of a novel PET hydrolase S131A mutant from Ideonella sakaiensis 201-F6	X-RAY DIFFRACTION	1.4	Ideonella sakaiensis strain 201-F6	mutant control	exclude_from_primary	Single mutant; exclude from WT production setup but keep for mutation sensitivity notes.	https://www.rcsb.org/structure/5XFY	2026-06-30
5YNS	Crystal structure of PETase R280A mutant from Ideonella sakaiensis	X-RAY DIFFRACTION	1.36	Ideonella sakaiensis strain 201-F6	mutant control	exclude_from_primary	Surface/pocket mutant; exclude from WT production setup.	https://www.rcsb.org/structure/5YNS	2026-06-30
6ILX	Crystal structure of PETase W159F mutant from Ideonella sakaiensis	X-RAY DIFFRACTION	1.45	Ideonella sakaiensis strain 201-F6	mutant control	exclude_from_primary	Mutant; exclude from WT production setup.	https://www.rcsb.org/structure/6ILX	2026-06-30
7SH6	Crystal structure of a PET hydrolase mutant from Ideonella Sakaiensis	X-RAY DIFFRACTION	1.44	Ideonella sakaiensis	mutant control	exclude_from_primary	Title identifies a mutant PET hydrolase; exclude from WT blind setup unless later mutant comparison is requested.	https://www.rcsb.org/structure/7SH6	2026-06-30
7SH7	Structure of the SARS-CoV-2 main protease in complex with inhibitor MPI87	X-RAY DIFFRACTION	1.85	Severe acute respiratory syndrome coronavirus 2	not PETase	exclude	Not PETase; pre-query false positive.	https://www.rcsb.org/structure/7SH7	2026-06-30
7SH8	Structure of the SARS-CoV-2 main protease in complex with inhibitor MPI88	X-RAY DIFFRACTION	1.8	Severe acute respiratory syndrome coronavirus 2	not PETase	exclude	Not PETase; pre-query false positive.	https://www.rcsb.org/structure/7SH8	2026-06-30
7SH9	Structure of the SARS-CoV-2 main protease in complex with inhibitor MPI86	X-RAY DIFFRACTION	1.85	Severe acute respiratory syndrome coronavirus 2	not PETase	exclude	Not PETase; pre-query false positive.	https://www.rcsb.org/structure/7SH9	2026-06-30
7SHA	RCSB query returned 404				not_found	exclude	No RCSB entry returned by official API at query time.	https://www.rcsb.org/structure/7SHA	2026-06-30
8JY2	RCSB query returned 404				not_found	exclude	No RCSB entry returned by official API at query time.	https://www.rcsb.org/structure/8JY2	2026-06-30
8JY3	RCSB query returned 404				not_found	exclude	No RCSB entry returned by official API at query time.	https://www.rcsb.org/structure/8JY3	2026-06-30
