sample_id	bin	record_index	identity	mutation_count	fixed_mutation_count	outside_redesignable_mutation_count	status	remote_full_tsv
ksi_bin90_rank1_rec1	90	1	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank2_rec2	90	2	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank3_rec4	90	4	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank4_rec7	90	7	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank5_rec8	90	8	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank6_rec9	90	9	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank7_rec14	90	14	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank8_rec16	90	16	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank9_rec17	90	17	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin90_rank10_rec24	90	24	0.912698	11	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank1_rec1	80	1	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank2_rec2	80	2	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank3_rec3	80	3	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank4_rec4	80	4	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank5_rec5	80	5	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank6_rec6	80	6	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank7_rec7	80	7	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank8_rec8	80	8	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank9_rec9	80	9	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin80_rank10_rec10	80	10	0.809524	24	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank1_rec1	70	1	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank2_rec2	70	2	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank3_rec3	70	3	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank4_rec4	70	4	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank5_rec5	70	5	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank6_rec6	70	6	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank7_rec7	70	7	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank8_rec8	70	8	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank9_rec9	70	9	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin70_rank10_rec10	70	10	0.706349	37	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank1_rec1	60	1	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank2_rec2	60	2	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank3_rec3	60	3	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank4_rec4	60	4	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank5_rec5	60	5	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank6_rec6	60	6	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank7_rec7	60	7	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank8_rec8	60	8	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank9_rec9	60	9	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin60_rank10_rec10	60	10	0.611111	49	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank1_rec1	50	1	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank2_rec2	50	2	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank3_rec3	50	3	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank4_rec4	50	4	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank5_rec5	50	5	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank6_rec6	50	6	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank7_rec7	50	7	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank8_rec8	50	8	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank9_rec9	50	9	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
ksi_bin50_rank10_rec10	50	10	0.507937	62	0	0	pass	/data/bht/project01_phase1_reset_gpu/natural_scaffold/KSI/manifests/ksi_ligandmpnn_sequence_bins_capped10.tsv
